2:39:17 AM [express] serving on port 5173
2:39:45 AM [express] GET /api/scan-status 200 in 42ms
2:40:28 AM [express] GET /api/ml/stats 200 in 23ms
2:40:49 AM [express] GET /api/scan-status 200 in 34ms
2:40:49 AM [express] GET /api/market-stats 200 in 35ms
2:40:49 AM [express] GET /api/arbitrage-opportunities 200 in 65ms
2:40:49 AM [express] GET /api/scanner-config 200 in 68ms
2:40:49 AM [express] GET /api/alerts 405 in 51ms
2:40:49 AM [express] GET /api/match-feedback 200 in 91ms
2:40:49 AM [express] GET /api/watchlist 200 in 84ms
2:41:04 AM [express] GET /api/arbitrage-opportunities 304 in 6ms
2:41:19 AM [express] GET /api/arbitrage-opportunities 304 in 5ms
2:41:34 AM [express] GET /api/arbitrage-opportunities 304 in 6ms
2:41:50 AM [express] GET /api/arbitrage-opportunities 304 in 6ms
2:42:05 AM [express] GET /api/arbitrage-opportunities 304 in 38ms
2:42:20 AM [express] GET /api/arbitrage-opportunities 304 in 6ms
2:42:35 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
2:42:50 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
2:43:05 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
2:43:20 AM [express] GET /api/arbitrage-opportunities 304 in 9ms
2:43:35 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
2:43:51 AM [express] GET /api/arbitrage-opportunities 304 in 9ms
2:44:06 AM [express] GET /api/arbitrage-opportunities 304 in 4ms
2:44:21 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
2:44:36 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
2:44:51 AM [express] GET /api/arbitrage-opportunities 304 in 15ms
2:45:06 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
2:45:21 AM [express] GET /api/arbitrage-opportunities 304 in 22ms
2:45:36 AM [express] GET /api/arbitrage-opportunities 304 in 4ms
2:45:51 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
2:46:06 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
2:46:21 AM [express] GET /api/arbitrage-opportunities 304 in 9ms
2:46:36 AM [express] GET /api/arbitrage-opportunities 304 in 5ms
2:46:52 AM [express] GET /api/arbitrage-opportunities 304 in 5ms
